name,phone,categories,location,state_name,website,yellowpages_url
Little Giant Pizza,(219) 874-4268,"Restaurants,Caterers,Delivery Service,Pizza,Take Out Restaurants","2418 Saint Lawerence Ave, Long Beach, IN 46360",Indiana,http://www.littlegiantpizza.com,https://www.yellowpages.com/long-beach-in/mip/little-giant-pizza-2493517?lid=1000380292523
Mexicali Restaurants,(661) 327-3861,"Restaurants,Banquet Halls & Reception Facilities,Caterers,Family Style Restaurants,Mexican Restaurants,Take Out Restaurants","631 18th St, Bakersfield, CA 93301",California,http://www.mexicalirestaurants.com,https://www.yellowpages.com/bakersfield-ca/mip/mexicali-restaurants-16245475?lid=1002108314919
Waterloo CA Restaurant,(209) 931-4019,"Restaurants,Banquet Halls & Reception Facilities,Barbecue Restaurants,Caterers,Cocktail Lounges,Wedding Supplies & Services","10447 E Waterloo Rd, Stockton, CA 95215",California,http://www.thewaterloo.com,https://www.yellowpages.com/stockton-ca/mip/waterloo-ca-restaurant-531414117?lid=1001856507454
Mi Cocinita,(909) 614-4159,"Restaurants,Grocers-Ethnic Foods,Grocery Stores,Mexican & Latin American Grocery Stores,Mexican Restaurants,Supermarkets & Super Stores,Take Out Restaurants","1442 S Euclid Avenue, Ontario, CA 91762",California,,https://www.yellowpages.com/ontario-ca/mip/mi-cocinita-556871774?lid=1002103120959
Bruno's Pizza,(574) 753-2861,"Restaurants,Pizza","2420 E Market St., Logansport, IN 46947",Indiana,http://brunoscarryoutpizza.com,https://www.yellowpages.com/logansport-in/mip/brunos-pizza-2167338?lid=1002004440160
Fiorillo's Restaurant,(408) 984-0414,"Restaurants,Banquet Halls & Reception Facilities,Caterers,Food & Beverage Consultants,Italian Restaurants,Pizza,Take Out Restaurants,Wedding Supplies & Services","638 El Camino Real, Santa Clara, CA 95050",California,http://www.fiorillos.com,https://www.yellowpages.com/santa-clara-ca/mip/fiorillos-restaurant-543723401?lid=1002108319231
Gelsosomo's Pizzeria,(219) 662-2828,"Restaurants,Banquet Halls & Reception Facilities,Caterers,Food & Beverage Consultants,Italian Restaurants,Pizza","11321 Broadway, Crown Point, IN 46307",Indiana,http://www.gelscrownpoint.com,https://www.yellowpages.com/crown-point-in/mip/gelsosomos-pizzeria-23216084?lid=1002083803559
Gordito Burrito,(916) 383-5688,Restaurants,"7810 La Riviera Dr, Sacramento, CA 95826",California,http://www.gorditoburrito.net,https://www.yellowpages.com/sacramento-ca/mip/gordito-burrito-21975868?lid=1001692725196
Toscana's Ristorante,(209) 216-3555,"Restaurants,Banquet Halls & Reception Facilities","1801 Colorado Ave, Turlock, CA 95382",California,http://www.toscanas.net,https://www.yellowpages.com/turlock-ca/mip/toscanas-ristorante-5319666?lid=1001595561198
PDQ Market & Deli,(530) 345-9966,"Delicatessens,Restaurants","156 Eaton Rd, Chico, CA 95973",California,,https://www.yellowpages.com/chico-ca/mip/pdq-market-deli-1009593
Alicia's Birreria,(818) 361-6061,"Latin American Restaurants,Caterers,Family Style Restaurants,Mexican Restaurants,Restaurants","1025 Truman St, San Fernando, CA 91340",California,,https://www.yellowpages.com/san-fernando-ca/mip/alicias-birreria-10062107
Tsing-Tao,(559) 297-7725,"Restaurants,Asian Restaurants","711 Shaw Ave, Clovis, CA 93612",California,http://tsingtaoclovis.com,https://www.yellowpages.com/clovis-ca/mip/tsing-tao-21952987?lid=1001248724722
